Year,Average population,Live births,Deaths,Natural change,"Crude birth rate (per 1,000)","Crude death rate (per 1,000)","Natural change (per 1,000)",Total fertility rate
1935,127362,2377000,1392752,984248,18.7,10.9,7.7,2.19
1936,128181,2355000,1479228,875772,18.4,11.5,6.8,2.15
1937,128961,2413000,1450427,962573,18.7,11.2,7.5,2.17
1938,129969,2496000,1381391,1114609,19.2,10.6,8.6,2.22
1939,131028,2466000,1387897,1078103,18.8,10.6,8.2,2.17
1940,132165,2559000,1417269,1142000,19.4,10.8,8.6,2.23
1941,133002,2703000,1397642,1305358,20.3,10.5,9.8,2.33
1942,134464,2989000,1385187,1603813,22.2,10.3,11.9,2.55
1943,136003,3104000,1459544,1644306,22.8,10.7,12.1,2.64
1944,138083,2939000,1411338,1644456,21.2,10.2,11,2.49
1945,139994,2858000,1401719,1456281,20.4,10,10.4,2.42
1946,140008,3411000,1395617,2015383,24.1,10,14.1,2.86
1947,145023,3817000,1445370,2371630,26.6,10,16.6,3.18
1948,148013,3637000,1444337,2192663,24.9,9.8,15.1,3.03
1949,149336,3649000,1443607,2205393,24.5,9.7,14.8,3.04
1950,151861,3632000,1452454,2180000,24.1,9.6,14.5,3.03
1951,154056,3823000,1482099,2340901,24.8,9.6,15.2,3.2
1952,156431,3913000,1496838,2416162,25,9.6,15.4,3.3
1953,159047,3965000,1447459,2142000,25.2,9.1,16.1,3.36
1954,161948,4078000,1481091,2596909,24.8,9.3,15.5,3.48
1955,163476,4097000,1528717,2568283,25,9.3,14.3,3.52
1956,166578,4218000,1564476,2653524,25.1,9.3,15.8,3.63
1957,169637,4308000,1633128,2666872,25.3,9.5,15.8,3.71
1958,172668,4255000,1647886,2607114,24.4,9.5,14.9,3.65
1959,175642,4244796,1656814,2587982,24,9.4,14.7,3.66
1960,179979,4257850,1711982,2545868,23.7,9.5,14.1,3.65
1961,182992,4268326,1701522,2566804,23.3,9.3,14,3.62
1962,185771,4167362,1756720,2410642,22.4,9.5,12.9,3.46
1963,188483,4098020,1813549,2284471,21.7,9.6,12.1,3.32
1964,191141,4027490,1798051,2229439,21.1,9.4,11.7,3.19
1965,193526,3760358,1828136,1932222,19.4,9.5,9.9,2.91
1966,195576,3606274,1863149,1743125,18.4,9.5,8.9,2.72
1967,197457,3520959,1851323,1669636,17.8,9.4,8.4,2.56
1968,199399,3501564,1930082,1571482,17.6,9.7,7.9,2.46
1969,201385,3600206,1921990,1678216,17.9,9.5,8.4,2.46
1970,203984,3731386,1921031,1810355,18.4,9.4,9,2.48
1971,206827,3555970,1927542,1628428,17.2,9.3,7.9,2.266
1972,209284,3258411,1963944,1294467,15.6,9.4,6.2,2.01
1973,211357,3136965,1973003,1163962,14.8,9.5,5.3,1.879
1974,213342,3159958,1934388,1225570,14.8,9.1,5.7,1.835
1975,215465,3144198,1892879,1251319,14.6,8.8,5.8,1.774
1976,217563,3167788,1909440,1258348,14.6,8.8,5.8,1.738
1977,219760,3326632,1899597,1427035,15.1,8.6,6.5,1.789
1978,222095,3333279,1927788,1405491,15,8.7,6.3,1.76
1979,224567,3494398,1913841,1580557,15.6,8.5,7.1,1.808
1980,227225,3612258,1989841,1622417,15.9,8.8,7.1,1.839
1981,229466,3629238,1977981,1651257,15.8,8.6,7.2,1.812
1982,231664,3680537,1974797,1705740,15.9,8.5,7.4,1.827
1983,233792,3638933,2019201,1619732,15.6,8.6,6.9,1.799
1984,235825,3669141,2039369,1629772,15.6,8.6,6.9,1.806
1985,237924,3760561,2086440,1674121,15.8,8.8,7,1.844
1986,240133,3756547,2105361,1651186,15.6,8.8,6.9,1.837
1987,242289,3809394,2123323,1686071,15.7,8.8,7,1.872
1988,244499,3909510,2167999,1741511,16,8.9,7.1,1.934
1989,246819,4040958,2150466,1890492,16.4,8.7,7.7,2.014
1990,249623,4158212,2148463,2009749,16.7,8.6,8.1,2.081
1991,252981,4110907,2169518,1941389,16.2,8.6,7.7,2.062
1992,256514,4065014,2175613,1889401,15.8,8.5,7.4,2.046
1993,259919,4000240,2268553,1731687,15.4,8.7,6.7,2.019
1994,263126,3952767,2278994,1673773,15,8.7,6.4,2.001
1995,266278,3899589,2312132,1587457,14.6,8.7,6,1.978
1996,269394,3891494,2314690,1576804,14.4,8.6,5.9,1.976
1997,272647,3880894,2314245,1566649,14.2,8.5,5.7,1.971
1998,275854,3941553,2337256,1604297,14.3,8.5,5.8,1.999
1999,279040,3959417,2391399,1568018,14.2,8.6,5.6,2.007
2000,282172,4058814,2403351,1655463,14.4,8.5,5.9,2.056
2001,285082,4025933,2416425,1609508,14.1,8.5,5.6,2.03
2002,287804,4021726,2443387,1578339,14,8.5,5.5,2.02
2003,290326,4089950,2448288,1641662,14.1,8.4,5.5,2.047
2004,293046,4112052,2397615,1714437,14,8.2,5.9,2.051
2005,295753,4138349,2448017,1690332,14,8.3,5.7,2.057
2006,298593,4265555,2426264,1839291,14.3,8.1,6.2,2.108
2007,301580,4316233,2423712,1892521,14.3,8,6.3,2.12
2008,304375,4247694,2471984,1775710,14,8.1,5.9,2.072
2009,307007,4130665,2437163,1693502,13.5,7.9,5.6,2.002
2010,309330,3999386,2465936,1534343,13,8,5,1.931
2011,,3953593,2513171,1440422,12.7,8.1,4.6,1.894
2012,,3952937,2539000,1413937,12.6,8.1,4.5,1.88
